Filtrage à priori basé sur sur un rapport des longueurs <0.25 sauf pour l2=en (filtrage uniquement basé sur alignable.py)
subDir	nbAlignedFiles	nbAlignedChars1	nbAlignedWords1	nbAlignedChars2	nbAlignedWords2
da-de	6	16287	2372	17851	2443
de-vi	5	11629	1588	10082	1817
sv-de	52	103002	14676	118809	16313
pl-de	11	23954	3000	26092	3377
pt-de	8	11727	1826	11857	1692
hu-en	227	122837	15467	121480	17640
de-en	15447	24241997	3193527	24033883	3633466
ja-en	378	88884	11172	104515	14676
bg-en	65	33963	4907	34849	5320
sv-en	723	684465	95663	686406	104218
es-en	3212	6133838	958151	5734370	897212
id-en	87	114804	15982	106204	16501
it-en	1667	2334960	347077	2229426	345143
tr-en	68	81527	10951	85767	13711
nl-en	1153	1523830	222916	1483909	229193
ru-en	1481	676799	88387	672204	97152
pt-en	389	616490	94817	587429	90751
ro-en	89	186491	27588	179337	27423
da-en	208	230403	33807	228033	35226
sk-en	23	17492	2274	17300	2477
vi-en	29	66276	13039	66178	11452
tl-en	6	9370	1405	8410	1329
lt-en	91	28673	3386	24464	3268
uk-en	66	41014	5536	41619	6104
da-it	14	33245	4929	37296	5526
sr-en	44	11791	1574	11361	1567
es-it	1231	4787857	755182	4774304	724449
he-en	57	15303	2520	14311	2192
la-en	4	7644	1081	8219	1207
sl-en	31	20451	2838	21708	3240
cy-en	23	16439	2573	18802	2899
ko-en	34	9726	1646	13369	1997
es-de	25	72208	11161	75923	10268
gl-en	22	23261	3504	22026	3298
en-de	1891	6091017	974890	6314385	886543
it-de	36	74710	10981	71326	9759
nl-de	52	155927	24147	153460	22715
fr-de	72	266917	43601	257355	36591
no-de	39	103263	15298	117531	16296
ar-en	37	8441	1236	8429	1210
hu-de	39	119963	15080	130552	16873
af-en	84	155379	23720	146463	22566
cs-de	6	34404	4792	39142	5311
is-en	34	16990	2341	15696	2233
lv-en	21	12468	1560	14404	2180
ms-en	10	51475	7162	49288	7661
eu-en	7	9130	1070	8323	1239
bn-en	40	6684	1887	6834	1090
cz-en	15	21255	3102	22519	3629
lb-en	17	10912	1510	10111	1439
pt-it	226	895225	138749	915272	137835
ru-it	147	77834	10230	88905	13033
ca-it	124	239700	40551	249858	38289
fi-it	14	50888	5532	54229	7336
tr-it	19	15767	2090	18000	2882
pl-it	133	250158	33129	266538	40044
eo-it	24	42087	6110	47687	6910
sv-it	63	157618	22576	178192	27031
nl-it	148	390356	57971	394068	60039
sk-it	183	615736	83264	707490	102242
cs-it	23	35825	4997	41095	5949
hu-it	42	55721	7415	57682	8956
gl-it	57	174092	27194	181105	27157
sl-it	12	24941	3566	27082	4032
en-es	12066	66127940	10416446	72235047	11390548
ca-es	1741	5012009	823245	5153475	804536
fr-es	576	3661878	586890	3694251	583755
pt-es	401	2099130	328981	2145082	339587
de-es	264	1050862	140781	1082790	166535
gl-es	212	828893	129040	869436	137544
no-it	27	51246	7584	55842	8420
it-es	344	1312837	197551	1307419	204173
no-es	44	81471	12319	91726	14727
ru-es	29	22619	2909	24155	3512
nl-es	58	135995	20730	137034	21966
pl-es	16	17510	2192	18466	2767
sv-es	7	15870	2281	17891	2780
eo-es	9	22232	3199	25259	3803
is-es	6	8646	1362	10194	1591
eu-es	5	10142	1247	10763	1721
sh-it	2	14995	2174	18853	2811
hu-es	2	8698	1060	10260	1534
id-it	7	11411	1512	11913	1774
